challenge,prediction,d12,d13,d23,d14,d24,d34
0,1,0.28941766687820936,0.17904284271579152,0.4447716109610774,0.38048899356622146,0.61641190242684,0.2746726696467875
1,3,0.6045249130187458,0.6650011786084549,0.603053254820785,1.0122656975060775,0.7548657282809461,1.022284628313153
2,3,0.12478109555597783,0.2592202660743259,0.37120967404537364,0.42471685253019775,0.6708880712952876,0.4044343297178432
3,1,0.8239749634855325,0.29990299492363126,0.6286143069179156,0.5492802655416709,0.8657171272224233,0.5576227990404792
4,1,0.8943120106833586,0.6596666028073845,0.6366896535566319,0.6376204011698029,0.7145800794950832,0.5609657963307929
5,3,0.21355300932369514,0.27092361635011664,0.1727400238461756,0.27031602262666277,0.1764812953559307,0.3234087997222602
6,3,0.42449383940922236,0.38909208700803977,0.43186342195368954,0.9000907133548922,0.7869754719668421,0.7914862081888907
7,2,0.12177348789603704,0.7776654226920254,0.7917512776820655,0.6362176300498825,0.6780626029285215,0.6049059209585488
8,3,0.08934624015431636,0.3570421918613462,0.39954402829472047,0.6885100298376925,0.6687922281441454,0.700177167680141
9,3,0.4230585723723773,0.5102800199858641,0.12527833088357299,0.7903393495734984,0.8433022660297469,0.8205540088903811
10,2,0.22202954653140894,0.3712311034847322,0.2250393928700204,0.2844148269216018,0.2608812386899696,0.4761703221368282
11,dont_know
12,3,0.49324049666342573,0.5015995689131434,0.2569479992520677,0.7373280896846623,0.7450223222232019,0.7522725777401488
13,1,0.445960579751449,0.47551481082743585,0.6988081530274552,0.40930802409783873,0.6190748244579679,0.5425867014059951
14,3,0.060267681766430936,0.1753461912129216,0.25178707957324575,0.9476541337847239,0.9564174763795678,1.018849977263669
15,2,0.3772551693438707,0.6999998216378303,0.44043805057163665,0.3294988426903023,0.5159568757398785,0.8398181835938034
16,3,0.5725716885187131,0.5486205808390502,0.8330527001171804,0.7517372694799449,0.7100945102357948,0.9204062016315813
17,2,0.30314086978079957,0.6930953686727576,0.4865001280740323,0.4296779177086676,0.5612386903771427,0.7089095264900898
18,3,0.5105992498228256,0.5731728744985576,0.3116111304516541,0.7742901772885555,0.5174607664567321,0.6555804139160857
19,2,0.6310685189566059,0.9321689819072374,0.7335649483006177,0.44112676819255814,0.42764397564803647,0.8307373372898417
20,3,0.260484730089355,0.36270523007267375,0.12992691805856993,0.9242477706966276,0.9486380334518498,0.8978826777673616
21,3,0.6235445750374717,0.5644267771705043,0.48863981602162576,1.0584437066426522,1.0024535767645437,1.0048305382946758
22,3,0.6744829595179986,0.5347030644240074,0.7209260754413123,0.7703390909658184,0.9257303982066518,0.6414689989691853
23,3,0.16346447418363486,0.35689105409754973,0.44886382449048257,0.8384577105171205,0.7484814677168384,0.8808530005220728
